,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL,HOA,Status
248,Single Family,1987,Gas,Central,Attached Garage,0.35 acres,$189,"$625,000","1414 Ginger Ln, Naperville, IL 60565","3,310", No, 5, 4, 3, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 57.7% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1414-Ginger-Ln-Naperville-IL-60565/5394001_zpid/,$4/month,For Sale
249,Single Family,1976,Gas,Central,2 spaces,0.31 Acres,$126,"$469,900","1106 S Charles Ave, Naperville, IL 60540","3,733", No, 5, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Hobson Village will increase 1.3% (↑) in the next year.This home is valued 13.7% higher (↑) than the median home in Hobson Village.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1106-S-Charles-Ave-Naperville-IL-60540/2078434922_zpid/,,For Sale
250,Single Family,2014,Forced air,Central,3 spaces,2.18 acres,$313,"$1,795,000","27W125 79th St, Naperville, IL 60565","5,732", No, 5, 7, 6, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will rise 1.2% (↑) in the next year.This home is valued 352.9% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/27W125-79th-St-Naperville-IL-60565/4523954_zpid/,None,For Sale
251,Townhouse,2020,Gas,Central,2 spaces,No Data,$172,"$327,570","4433 Monroe Ct LOT 13.03, Naperville, IL 60564","1,910", Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 24% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4433-Monroe-Ct-LOT-13-03-Naperville-IL-60564/2078438012_zpid/,,For Sale
252,Single Family,1956,Gas,Central,1 space,"9,147 sqft",$191,"$599,900","664 S Sleight St, Naperville, IL 60540","3,138", No, 3, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Moser Highlands will increase 1.3% (↑) in the next year.This home is valued 45.2% higher (↑) than the median home in Moser Highlands.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/664-S-Sleight-St-Naperville-IL-60540/4537686_zpid/,,For Sale
253,Townhouse,2020,Gas,Central,2 spaces,No Data,$200,"$372,490","4403 Monroe Ct LOT 10.01, Naperville, IL 60564","1,858", Yes, 2, 3, 3,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 13.6% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4403-Monroe-Ct-LOT-10-01-Naperville-IL-60564/2078440889_zpid/,$222/month,For Sale
254,Single Family,2001,Forced air,Central,2 spaces,0.25 acres,$226,"$899,900","708 W Jefferson Ave, Naperville, IL 60540","3,976", No, 5, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 117.8% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/708-W-Jefferson-Ave-Naperville-IL-60540/4506593_zpid/,None,For Sale
255,Single Family,1951,No Data,No Data,Attached Garage,"8,276 sqft",$446,"$499,000","223 S West St, Naperville, IL 60540","1,120", No, 3, 1, 1,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 20.7% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/223-S-West-St-Naperville-IL-60540/4506614_zpid/,None,For Sale
256,Single Family,1969,"Forced air, Gas",Central,2 spaces,0.25 Acres,$225,"$570,000","216 Durham Ct, Naperville, IL 60540","2,531", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Pembroke Greens will increase 1.3% (↑) in the next year.This home is valued 37.9% higher (↑) than the median home in Pembroke Greens.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/216-Durham-Ct-Naperville-IL-60540/4535876_zpid/,,For Sale
257,Single Family,2017,"Forced air, Gas",Central,2 spaces,"8,276 sqft",$170,"$635,000","1563 Bayou Path Dr, Naperville, IL 60563","3,737", No, 4, 4, 3, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Country Lakes will increase 0.9% (↑) in the next year.This home is valued 97.6% higher (↑) than the median home in Country Lakes.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1563-Bayou-Path-Dr-Naperville-IL-60563/303959308_zpid/,,For Sale
258,Single Family,1994,Gas,Central,2 spaces,0.3 acres,$161,"$489,900","601 Alexandria Dr, Naperville, IL 60565","3,034", No, 3, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in River Woods will increase 1.2% (↑) in the next year.This home is valued 23.6% higher (↑) than the median home in River Woods.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/601-Alexandria-Dr-Naperville-IL-60565/5394648_zpid/,,For Sale
259,Townhouse,2015,Gas,Central,2 spaces,No Data,$225,"$359,900","2659 Camberley Cir, Naperville, IL 60564","1,600", No, 2, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Carillon Club will rise 0.7% (↑) in the next year.This home is valued 16.6% lower (↓) than the median home in Carillon Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2659-Camberley-Cir-Naperville-IL-60564/242073434_zpid/,,For Sale
260,Single Family,2004,Forced air,Central,3 spaces,0.32 acres,$142,"$679,000","2904 Willow Ridge Dr, Naperville, IL 60564","4,780", No, 6, 5, 5,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashbury will increase 0.7% (↑) in the next year.This home is valued 57.4% higher (↑) than the median home in Ashbury.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2904-Willow-Ridge-Dr-Naperville-IL-60564/64823207_zpid/,$50/month,For Sale
261,Single Family,2017,Gas,Central,3 spaces,0.33 acres,$197,"$625,000","4232 Chinaberry Ln, Naperville, IL 60564","3,176", No, 4, 3, 3,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Park will rise 0.7% (↑) in the next year.This home is valued 44.9% higher (↑) than the median home in Ashwood Park.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4232-Chinaberry-Ln-Naperville-IL-60564/242073454_zpid/,$121/month,For Sale
262,Single Family,2016,"Forced air, Gas",Central,3 spaces,0.26 Acres,$295,"$1,485,000","619 N Sleight St, Naperville, IL 60563","5,040", No, 6, 6, 6,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 362% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/619-N-Sleight-St-Naperville-IL-60563/4536425_zpid/,,For Sale
263,Single Family,1988,Forced air,Central,3 spaces,0.44 acres,$126,"$529,900","1036 Sheringham Dr, Naperville, IL 60565","4,190", No, 5, 4, 4,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Brighton Ridge will rise 1.2% (↑) in the next year.This home is valued 33.7% higher (↑) than the median home in Brighton Ridge.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1036-Sheringham-Dr-Naperville-IL-60565/4514385_zpid/,$12/month,For Sale
264,Single Family,2008,"Forced air, Gas",Central,4 spaces,0.29 Acres,$226,"$1,150,000","1129 Summit Hills Ln, Naperville, IL 60563","5,087", No, 5, 8, 6, 2,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek will rise 0.9% (↑) in the next year.This home is valued 257.8% higher (↑) than the median home in Cress Creek.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1129-Summit-Hills-Ln-Naperville-IL-60563/4503832_zpid/,,For Sale
265,Single Family,1976,Gas,Central,2 spaces,0.29 acres,$197,"$455,000","1361 Jane Ave, Naperville, IL 60540","2,310", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Huntington Commons will rise 1.3% (↑) in the next year.This home is valued 10.1% higher (↑) than the median home in Huntington Commons.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1361-Jane-Ave-Naperville-IL-60540/4536108_zpid/,,For Sale
266,Single Family,1993,"Forced air, Gas",Central,3 spaces,No Data,$149,"$655,900","3651 Shakespeare Ln, Naperville, IL 60564","4,400", No, 5, 6, 4, 2,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashbury will increase 0.7% (↑) in the next year.This home is valued 52.1% higher (↑) than the median home in Ashbury.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3651-Shakespeare-Ln-Naperville-IL-60564/5370458_zpid/,,For Sale
267,Single Family,2010,"Forced air, Gas",Central,4 spaces,0.54 Acres,$256,"$2,250,000","734 Woodlawn Ave, Naperville, IL 60540","8,787", No, 5, 9, 7, 2,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 444.5% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/734-Woodlawn-Ave-Naperville-IL-60540/4538326_zpid/,,For Sale
268,Single Family,1965,Forced air,Central,1 space,"10,833 sqft",$180,"$287,500","5S312 Scots Dr, Naperville, IL 60563","1,597", No, 3, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Scots Plains will increase 0.9% (↑) in the next year.This home is valued 10.5% lower (↓) than the median home in Scots Plains.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/5S312-Scots-Dr-Naperville-IL-60563/4501559_zpid/,None,For Sale
269,Single Family,2020,Forced air,Central,2 spaces,No Data,$203,"$492,513","4151 Lobo Ln, Naperville, IL 60564","2,422", Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Crossing will increase 0.7% (↑) in the next year.This home is valued 14.2% higher (↑) than the median home in Ashwood Crossing.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4151-Lobo-Ln-Naperville-IL-60564/303803498_zpid/,$154/month,For Sale
270,Single Family,2020,Gas,Central,2 spaces,No Data,$211,"$707,908","3623 Sargent Dr, Naperville, IL 60564","3,353", Yes, 5, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 64.1% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3623-Sargent-Dr-Naperville-IL-60564/2078571215_zpid/,,For Sale
271,Condo,1998,Forced air,Central,2 spaces,,$114,"$295,000","1552 Treeline Ct, Naperville, IL 60565","2,598", No, 2, 3, 3,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 25.6% lower (↓) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1552-Treeline-Ct-Naperville-IL-60565/4548466_zpid/,$383/month,For Sale
272,Single Family,1987,"Forced air, Gas",Central,2 spaces,"10,193 sqft",$167,"$389,500","2466 Wendover Dr, Naperville, IL 60565","2,329", No, 4, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Old Farm will increase 1.2% (↑) in the next year.This home is valued 1.7% lower (↓) than the median home in Old Farm.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/2466-Wendover-Dr-Naperville-IL-60565/5396182_zpid/,,For Sale
273,Single Family,1993,Forced air,Central,3 spaces,0.32 acres,$175,"$639,900","3555 Tralee Ct, Naperville, IL 60564","3,647", No, 4, 5, 4, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in White Eagle Club will increase 0.7% (↑) in the next year.This home is valued 48.4% higher (↑) than the median home in White Eagle Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3555-Tralee-Ct-Naperville-IL-60564/4521802_zpid/,$86/month,For Sale
274,Townhouse,2005,Gas,Central,2 spaces,11.98 Acres,$185,"$360,000","2843 Bond Cir, Naperville, IL 60563","1,948", No, 2, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will increase 0.9% (↑) in the next year.This home is valued 12% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/2843-Bond-Cir-Naperville-IL-60563/72587624_zpid/,,For Sale
275,Townhouse,1999,"Forced air, Gas",Central,2 spaces,"7,405 sqft",$138,"$284,900","744 Prescott Ct, Naperville, IL 60563","2,070", No, 2, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek will rise 0.9% (↑) in the next year.This home is valued 11.4% lower (↓) than the median home in Cress Creek.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/744-Prescott-Ct-Naperville-IL-60563/50904965_zpid/,,For Sale
276,Single Family,2015,"Forced air, Gas",Central,2 spaces,"6,011 sqft",$250,"$799,999","1322 N Eagle St, Naperville, IL 60563","3,200", No, 5, 4, 4,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Heights will increase 0.9% (↑) in the next year.This home is valued 148.9% higher (↑) than the median home in Naperville Heights.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1322-N-Eagle-St-Naperville-IL-60563/4505418_zpid/,,For Sale
277,Single Family,1913,Gas,Central,2 spaces,"10,018 sqft",$272,"$685,000","608 E Chicago Ave, Naperville, IL 60540","2,516", No, 4, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 65.8% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/608-E-Chicago-Ave-Naperville-IL-60540/4537053_zpid/,,For Sale
