,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms,Status
485,Condo,1955,Forced air,Central,2 spaces,$411,"$265,000","900 N Lake Shore Dr APT 811, Chicago, IL 60611", No, 0, 1, 1,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 42.9% lower () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/900-N-Lake-Shore-Dr-APT-811-Chicago-IL-60611/3849447_zpid/,,645,$391/month,,For Sale
486,Multi Family,1914,Forced air,Central,2 spaces,No Data,"$644,500","5030 W Hutchinson St, Chicago, IL 60641", No, 8, 5, 5,"Home values in Portage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Portage Park will fall 2% () in the next year.This home is valued 122.3% higher () than the median home in Portage Park.The median Zestimate for this neighborhood is $289,874.",https://www.zillow.com/homedetails/5030-W-Hutchinson-St-Chicago-IL-60641/2146987904_zpid/,,,,,For Sale
487,Single Family,2007,"Forced air, Gas",Central,4 spaces,$476,"$2,950,000","1464 W Byron St, Chicago, IL 60613", No, 6, 6, 5,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 445.7% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1464-W-Byron-St-Chicago-IL-60613/3710859_zpid/,"3,750 sqft","6,202",, 1,For Sale
488,Condo,1955,Forced air,Central,1 space,$315,"$264,500","910 N Lake Shore Dr APT 2016, Chicago, IL 60610", No, 1, 1, 1,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will fall 1.2% () in the next year.This home is valued 43% lower () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/910-N-Lake-Shore-Dr-APT-2016-Chicago-IL-60610/2077660302_zpid/,,841,$667/month,,For Sale
489,Single Family,1974,Gas,Central,2 spaces,$316,"$379,000","3615 S Wallace St, Chicago, IL 60609", No, 3, 1, 1,"Home values in Bridgeport have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bridgeport will fall 0.2% () in the next year.This home is valued 4.6% higher () than the median home in Bridgeport.The median Zestimate for this neighborhood is $362,289.",https://www.zillow.com/homedetails/3615-S-Wallace-St-Chicago-IL-60609/3881931_zpid/,"3,123 sqft","1,200",,,For Sale
490,Condo,1973,No Data,No Data,None,No Data,"$289,900","71 E Division St APT 1102, Chicago, IL 60610", No, 1, 1, 1,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will fall 2% () in the next year.This home is valued 45.5% lower () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/71-E-Division-St-APT-1102-Chicago-IL-60610/3846232_zpid/,,,$550/month,,For Sale
491,Condo,1969,"Baseboard, Gas, Other",Central,1 space,$342,"$205,000","2800 N Lake Shore Dr APT 1709, Chicago, IL 60657", No, 0, 1, 1,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% () in the next year.This home is valued 35% lower () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2800-N-Lake-Shore-Dr-APT-1709-Chicago-IL-60657/3723529_zpid/,,600,$361/mo,,For Sale
492,Single Family,2018,"Forced air, Gas",Central,2 spaces,$240,"$649,000","3350 N Kilbourn Ave, Chicago, IL 60641", No, 4, 4, 3,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will decrease 1.1% () in the next year.This home is valued 61.7% higher () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3350-N-Kilbourn-Ave-Chicago-IL-60641/306332407_zpid/,"3,199 sqft","2,700",, 1,For Sale
493,Condo,2007,"Forced air, Gas",Central,1 space,$605,"$1,120,000","600 N Fairbanks Ct UNIT 3510, Chicago, IL 60611", No, 2, 2, 2,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 141.4% higher () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/600-N-Fairbanks-Ct-UNIT-3510-Chicago-IL-60611/89887943_zpid/,,"1,852","$1,302/mo",,For Sale
494,Single Family,2006,Forced air,Central,2 spaces,$163,"$489,000","3124 N Olcott Ave, Chicago, IL 60707", No, 5, 4, 3,"Home values in Belmont Heights have risen 0.6% () over the past 12 months.Zillow predicts the home values in Belmont Heights will decrease 3.5% () in the next year.This home is valued 85% higher () than the median home in Belmont Heights.The median Zestimate for this neighborhood is $264,290.",https://www.zillow.com/homedetails/3124-N-Olcott-Ave-Chicago-IL-60707/3601352_zpid/,"4,430 sqft","3,000",None, 1,For Sale
495,Condo,1972,Electric,No Data,1 space,$275,"$330,000","1221 N Dearborn St PENTHOUSE P9N, Chicago, IL 60610", No, 2, 2, 1,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will fall 2% () in the next year.This home is valued 38% lower () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1221-N-Dearborn-St-PENTHOUSE-P9N-Chicago-IL-60610/2077660538_zpid/,,"1,200",$803/mo, 1,For Sale
496,Condo,1963,Forced air,Central,2 spaces,$429,"$365,000","400 E Randolph St APT 2528, Chicago, IL 60601", No, 1, 1, 1,"Home values in New Eastside have risen 0.6% () over the past 12 months.Zillow predicts the home values in New Eastside will fall 1.7% () in the next year.This home is valued 25.5% lower () than the median home in New Eastside.The median Zestimate for this neighborhood is $490,075.",https://www.zillow.com/homedetails/400-E-Randolph-St-APT-2528-Chicago-IL-60601/3869556_zpid/,,850,$658/month,,For Sale
497,Condo,1895,Gas,Central,1 space,$331,"$290,000","625 W Jackson Blvd APT 309, Chicago, IL 60661", No, 1, 1, 1,"Home values in West Loop Gate have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Loop Gate will decrease 0.5% () in the next year.This home is valued 14.4% lower () than the median home in West Loop Gate.The median Zestimate for this neighborhood is $338,772.",https://www.zillow.com/homedetails/625-W-Jackson-Blvd-APT-309-Chicago-IL-60661/61960988_zpid/,,875,$449/month,,For Sale
498,Multi Family,1900,Other,No Data,2 spaces,No Data,"$749,000","2946 N Rockwell St, Chicago, IL 60618", No, 6, 3, 3,"Home values in Avondale have risen 0.6% () over the past 12 months.Zillow predicts the home values in Avondale will increase 0% () in the next year.This home is valued 89.7% higher () than the median home in Avondale.The median Zestimate for this neighborhood is $394,918.",https://www.zillow.com/homedetails/2946-N-Rockwell-St-Chicago-IL-60618/2077660605_zpid/,,,,,For Sale
499,Multi Family,1920,Gas,Central,2 spaces,No Data,"$1,150,000","2141 W Crystal St, Chicago, IL 60622", No, 6, 5, 3,"Home values in Wicker Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wicker Park will rise 1.1% () in the next year.This home is valued 96.4% higher () than the median home in Wicker Park.The median Zestimate for this neighborhood is $585,609.",https://www.zillow.com/homedetails/2141-W-Crystal-St-Chicago-IL-60622/2099654380_zpid/,,,, 2,For Sale
500,Condo,2003,Forced air,Central,1 space,$245,"$475,000","2940 N Spaulding Ave APT 1N, Chicago, IL 60618", No, 3, 3, 3,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% () in the next year.This home is valued 17.7% higher () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2940-N-Spaulding-Ave-APT-1N-Chicago-IL-60618/70458835_zpid/,,"1,936",$418/month,,For Sale
501,Condo,1918,Gas,Central,1 space,$297,"$315,000","820 W Sunnyside Ave APT 3B, Chicago, IL 60640", No, 2, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 3.8% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/820-W-Sunnyside-Ave-APT-3B-Chicago-IL-60640/70451050_zpid/,,"1,059",$255/month,,For Sale
502,Condo,1911,Forced air,Central,1 space,$443,"$1,799,888","910 S Michigan Ave APT 1905, Chicago, IL 60605", No, 3, 3, 2,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% () in the next year.This home is valued 377.5% higher () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/910-S-Michigan-Ave-APT-1905-Chicago-IL-60605/70472156_zpid/,,"4,067","$2,422/month", 1,For Sale
503,Single Family,1956,Gas,Central,5 spaces,$308,"$309,000","5832 S Newcastle Ave, Chicago, IL 60638", No, 3, 1, 1,"Home values in Garfield Ridge have risen 0.6% () over the past 12 months.Zillow predicts the home values in Garfield Ridge will rise 4.1% () in the next year.This home is valued 28% higher () than the median home in Garfield Ridge.The median Zestimate for this neighborhood is $241,329.",https://www.zillow.com/homedetails/5832-S-Newcastle-Ave-Chicago-IL-60638/3944672_zpid/,"4,748 sqft","1,004",,,For Sale
504,Multiple Occupancy,1908,"Forced air, Gas",Central,2 spaces,$585,"$585,000","4126 N Drake Ave, Chicago, IL 60618", No, 7, 3, 3,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will fall 1.1% () in the next year.This home is valued 45.7% higher () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/4126-N-Drake-Ave-Chicago-IL-60618/2125272056_zpid/,,"1,000",,,For Sale
505,Condo,No Data,Gas,Central,1 space,$150,"$164,900","538 E 44th St APT G, Chicago, IL 60653", No, 2, 2, 2,"Home values in Bronzeville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bronzeville will increase 2.7% () in the next year.This home is valued 37.8% lower () than the median home in Bronzeville.The median Zestimate for this neighborhood is $265,069.",https://www.zillow.com/homedetails/538-E-44th-St-APT-G-Chicago-IL-60653/113961275_zpid/,,"1,100",$175/month,,For Sale
506,Condo,2007,"Forced air, Gas",Central,1 space,$388,"$659,000","2424 N Southport Ave APT D, Chicago, IL 60614", No, 4, 3,,"Home values in West De Paul have risen 0.6% () over the past 12 months.Zillow predicts the home values in West De Paul will decrease 0.9% () in the next year.This home is valued 15.9% lower () than the median home in West De Paul.The median Zestimate for this neighborhood is $783,255.",https://www.zillow.com/homedetails/2424-N-Southport-Ave-APT-D-Chicago-IL-60614/89962465_zpid/,,"1,700",$98/mo,,For Sale
507,Condo,1974,Electric,No Data,1 space,$241,"$192,900","1221 N Dearborn St APT 401N, Chicago, IL 60610", No, 1, 1, 1,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will decrease 2% () in the next year.This home is valued 63.8% lower () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1221-N-Dearborn-St-APT-401N-Chicago-IL-60610/3858133_zpid/,,800,$454/month,,For Sale
508,Multi Family,1891,Forced air,Central,6 spaces,$146,"$389,000","1702 N Kedvale Ave, Chicago, IL 60639", No, 6, 3, 3,"Home values in Hermosa have risen 0.6% () over the past 12 months.Zillow predicts the home values in Hermosa will decrease 0% () in the next year.This home is valued 55.7% higher () than the median home in Hermosa.The median Zestimate for this neighborhood is $249,786.",https://www.zillow.com/homedetails/1702-N-Kedvale-Ave-Chicago-IL-60639/2125883453_zpid/,,"2,668",,,For Sale
509,Condo,1924,No Data,No Data,No Data,$236,"$425,000","6342 N Sheridan Rd #1F, Chicago, IL 60660", No, 3, 2, 2,"Home values in Edgewater have risen 0.6% () over the past 12 months.Zillow predicts the home values in Edgewater will increase 1.3% () in the next year.This home is valued 75.5% higher () than the median home in Edgewater.The median Zestimate for this neighborhood is $242,192.",https://www.zillow.com/homedetails/6342-N-Sheridan-Rd-1F-Chicago-IL-60660/2077661811_zpid/,,"1,800",$890/mo,,For Sale
510,Condo,1940,"Forced air, Gas",Central,No Data,$178,"$159,900","4208 W Leland Ave #2, Chicago, IL 60630", No, 2, 1, 1,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 49.2% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4208-W-Leland-Ave-2-Chicago-IL-60630/61959299_zpid/,,900,$315/mo,,For Sale
511,Condo,2007,"Forced air, Gas",Central,2 spaces,$199,"$329,000","5420 N Kedzie Ave APT 3E, Chicago, IL 60625", No, 3, 2, 2,"Home values in North Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in North Park will increase 2.3% () in the next year.This home is valued 4.8% lower () than the median home in North Park.The median Zestimate for this neighborhood is $345,678.",https://www.zillow.com/homedetails/5420-N-Kedzie-Ave-APT-3E-Chicago-IL-60625/80811288_zpid/,,"1,650",$291/mo,,For Sale
512,Condo,1974,Baseboard,No Data,1 space,$170,"$169,900","6800 W Raven St UNIT 405, Chicago, IL 60631", No, 2, 1, 1,"Home values in Norwood Park East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Norwood Park East will decrease 1.2% () in the next year.This home is valued 49.2% lower () than the median home in Norwood Park East.The median Zestimate for this neighborhood is $334,700.",https://www.zillow.com/homedetails/6800-W-Raven-St-UNIT-405-Chicago-IL-60631/3627483_zpid/,,"1,000",$304/month,,For Sale
513,Condo,2020,Forced air,Central,1 space,No Data,"$1,049,000","916 W Barry Ave #1, Chicago, IL 60657", Yes, 4, 3, 2,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 94% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/916-W-Barry-Ave-1-Chicago-IL-60657/2077662134_zpid/,,,$299/month, 1,For Sale
